parent,run_id,task,policy,n_children,n_artifact,n_silent,top1_expected,raw_regret,escalated_expected,low_wall_s,all_full_runtime_s,restart_cost_s,continuation_cost_s
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_combined_run_oof,3,0,3,1.0,0.0,1.0,175.8,1590.8876776695251,799.5229554653167,679.5229554653167
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_scalar_loto,3,0,3,1.0,0.0,1.0,175.8,1590.8876776695251,799.5229554653167,679.5229554653167
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_text_loto,3,0,3,0.0,0.011009999999999964,1.0,175.8,1590.8876776695251,825.5564013004303,705.5564013004303
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,top1_combined_loto,3,0,3,1.0,0.0,1.0,175.8,1590.8876776695251,799.5229554653167,679.5229554653167
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,oracle_top1,3,0,3,1.0,0.0,1.0,175.8,1590.8876776695251,799.5229554653167,679.5229554653167
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,all_escalate,3,0,3,1.0,0.0,3.0,175.8,1590.8876776695251,1766.687677669525,1406.687677669525
chaii-hindi-and-tamil-question-answering__cbe405cf5c2e48e8ab6dbb29f814b88e,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,full_external,3,0,3,1.0,0.0,3.0,175.8,1590.8876776695251,1590.8876776695251,1590.8876776695251
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,random_expected,2,2,0,1.0,0.0,0.0,81.3,130.7270479425788,81.3,81.3
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,stdout_tfidf,2,2,0,1.0,0.0,0.0,81.3,130.7270479425788,81.3,81.3
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,top1_scalar_run_oof,2,2,0,1.0,0.0,0.0,81.3,130.7270479425788,81.3,81.3
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,top1_text_run_oof,2,2,0,1.0,0.0,0.0,81.3,130.7270479425788,81.3,81.3
chaii-hindi-and-tamil-question-answering__e43679e8e9bf4481a179b114ac9c8c5e,cards_ours_20260727.jsonl:173,chaii-hindi-and-tamil-question-answering,top1_combined_run_oof,2,2,0,1.0,0.0,0.0,81.3,130.7270479425788,81.3,81.3
