run_id,task,cards,graded_cards,legal_parent_child_edges,observed_components,closed_nodes,branch_points,closed_branch_points,deep_closed_branch_points,max_closed_depth_to_leaf
cards_senior_0728.jsonl:14,nomad2018-predict-transparent-conductors,58,58,35,23,44,5,0,0,6
cards_senior_0728.jsonl:15,nomad2018-predict-transparent-conductors,23,23,8,15,15,1,0,0,0
cards_senior_0728.jsonl:16,nomad2018-predict-transparent-conductors,61,61,40,21,35,4,0,0,5
cards_senior_0728.jsonl:17,nomad2018-predict-transparent-conductors,38,38,16,22,28,3,0,0,1
cards_senior_0728.jsonl:18,mlsp-2013-birds,84,84,39,45,59,7,2,0,3
cards_senior_0728.jsonl:19,mlsp-2013-birds,73,73,25,48,46,1,0,0,1
cards_senior_0728.jsonl:2,petfinder-pawpularity-score,14,14,8,6,7,2,0,0,1
cards_senior_0728.jsonl:20,mlsp-2013-birds,43,43,26,17,20,1,0,0,3
cards_senior_0728.jsonl:21,mlsp-2013-birds,23,23,5,18,15,1,0,0,0
cards_senior_0728.jsonl:22,mlsp-2013-birds,27,27,10,17,15,2,0,0,2
cards_senior_0728.jsonl:23,mlsp-2013-birds,66,66,26,40,35,1,0,0,2
cards_senior_0728.jsonl:3,petfinder-pawpularity-score,32,32,16,16,19,3,2,0,1
cards_senior_0728.jsonl:4,spooky-author-identification,2,2,0,2,2,0,0,0,0
cards_senior_0728.jsonl:5,spooky-author-identification,6,6,3,3,4,1,0,0,0
cards_senior_0728.jsonl:6,spooky-author-identification,4,4,1,3,3,0,0,0,0
cards_senior_0728.jsonl:7,spooky-author-identification,7,7,4,3,6,0,0,0,3
cards_senior_0728.jsonl:8,kuzushiji-recognition,6,6,2,4,2,0,0,0,0
cards_senior_0728.jsonl:9,kuzushiji-recognition,5,5,2,3,4,0,0,0,1
cards_senior_0729.jsonl:0,petfinder-pawpularity-score,20,20,9,11,11,2,0,0,0
cards_senior_0729.jsonl:1,petfinder-pawpularity-score,18,18,5,13,10,1,0,0,0
cards_senior_0729.jsonl:10,chaii-hindi-and-tamil-question-answering,14,14,9,5,14,0,0,0,6
cards_senior_0729.jsonl:11,tabular-playground-series-may-2022,7,7,1,6,6,0,0,0,1
cards_senior_0729.jsonl:12,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_senior_0729.jsonl:13,tabular-playground-series-may-2022,5,5,0,5,5,0,0,0,0
cards_senior_0729.jsonl:14,denoising-dirty-documents,20,20,12,8,13,3,2,0,1
cards_senior_0729.jsonl:15,denoising-dirty-documents,18,18,7,11,12,2,2,1,2
cards_senior_0729.jsonl:16,denoising-dirty-documents,25,25,13,12,13,3,0,0,2
cards_senior_0729.jsonl:17,denoising-dirty-documents,22,22,10,12,12,1,0,0,0
