split,subset,task,pair_unweighted_accuracy,pair_gap_weighted_accuracy,component_gain_capture,component_top1_accuracy,component_normalized_regret
dev,Improve,ventilator-pressure-prediction,0.43478260869565216,0.39771903173676804,-0.20456193652646418,0.43478260869565216,1.2045619365264641
dev,Improve,whale-categorization-playground,0.5789473684210527,0.5879266223307328,0.17585324466146504,0.5789473684210527,0.8241467553385352
test,merged,aptos2019-blindness-detection,0.6,0.720854178849111,0.4417083576982216,0.6,0.5582916423017784
test,merged,cassava-leaf-disease-classification,0.0,0.0,-0.9999999999999999,0.0,2.0
test,merged,chaii-hindi-and-tamil-question-answering,0.5,0.5162703671681746,-0.3630304537759927,0.05555555555555555,1.3630304537759925
test,merged,denoising-dirty-documents,0.5625,0.5612051029050512,0.17213568763806802,0.6756756756756757,0.827864312361932
test,merged,dog-breed-identification,0.5666666666666667,0.6509681573129195,0.36209670310862435,0.5714285714285714,0.6379032968913757
test,merged,dogs-vs-cats-redux-kernels-edition,0.47619047619047616,0.3049850036198159,-0.46286968664591044,0.3333333333333333,1.4628696866459105
test,merged,facebook-recruiting-iii-keyword-extraction,0.5,0.501270347084661,0.0025406941693221063,0.5,0.9974593058306779
test,merged,google-quest-challenge,0.6,0.6217782516335911,0.27887004719743475,0.5,0.7211299528025653
test,merged,histopathologic-cancer-detection,0.3333333333333333,0.2590401479001674,-0.2931238449683786,0.5,1.2931238449683786
test,merged,kuzushiji-recognition,1.0,1.0,1.0,1.0,0.0
test,merged,leaf-classification,0.51,0.6049893681974029,0.18246889057125112,0.4444444444444444,0.8175311094287491
test,merged,learning-agency-lab-automated-essay-scoring-2,0.6,0.5030129938524797,-0.21520766473798875,0.5263157894736842,1.2152076647379888
test,merged,mlsp-2013-birds,0.5113636363636364,0.5249429581871947,0.18826306426066486,0.5,0.8117369357393354
test,merged,new-york-city-taxi-fare-prediction,0.625,0.689321239974345,0.8372042723338429,0.5384615384615384,0.1627957276661573
test,merged,nomad2018-predict-transparent-conductors,0.5416666666666666,0.306197425127456,-2.505232596457028,0.1111111111111111,3.5052325964570286
test,merged,petfinder-pawpularity-score,0.5789473684210527,0.7931507154780715,0.5935581107827699,0.4074074074074074,0.40644188921723007
test,merged,random-acts-of-pizza,0.3333333333333333,0.2903918637215471,-0.2589205786945677,0.4,1.2589205786945676
test,merged,ranzcr-clip-catheter-line-classification,0.6153846153846154,0.664821846408205,0.38604545803888857,0.631578947368421,0.6139545419611114
test,merged,spooky-author-identification,0.6219512195121951,0.7478365165939572,0.47565103162016686,0.4918032786885246,0.524348968379833
test,merged,tabular-playground-series-dec-2021,0.75,0.16543326110584214,-1.1636815069503035,0.7,2.1636815069503035
test,merged,tabular-playground-series-may-2022,0.4583333333333333,0.5046422310988935,-0.14920456469709178,0.2727272727272727,1.1492045646970919
test,merged,text-normalization-challenge-english-language,0.6842105263157895,0.5217369725152426,-0.11993945706171985,0.6428571428571429,1.1199394570617198
test,merged,text-normalization-challenge-russian-language,0.68,0.7406494186930875,0.49793365429149855,0.6428571428571429,0.5020663457085017
test,merged,tgs-salt-identification-challenge,0.8181818181818182,0.9099728366317423,0.8168742325907735,0.8,0.18312576740922645
test,merged,tweet-sentiment-extraction,0.8,0.8074891010161581,0.4302194507734741,0.6666666666666666,0.5697805492265259
test,merged,us-patent-phrase-to-phrase-matching,0.7948717948717948,0.9301061582811025,0.7786535428996297,0.7575757575757576,0.22134645710037024
