pair_index,left_id,right_id,left_runtime_s,right_runtime_s,serial_runtime_s,ideal_parallel_runtime_s,complete
91,petfinder-pawpularity-score__1c167c6b72954678b4a9e2fb33c4d842,petfinder-pawpularity-score__ea81214e90804bbabe2a4a48ce128864,1031.2638468570076,2010.4090051070089,3041.6728519640164,2010.4090051070089,1
92,petfinder-pawpularity-score__1c167c6b72954678b4a9e2fb33c4d842,petfinder-pawpularity-score__a4d05159e8d943009a4adfe2027c260d,1031.2638468570076,658.9443513239967,1690.2081981810043,1031.2638468570076,1
93,petfinder-pawpularity-score__2c74822e9c844a8ca1096bfd8d388c91,petfinder-pawpularity-score__71b5bec86f834961b15c6f7a08713fd4,5377.834328657016,3132.2052333250176,8510.039561982034,5377.834328657016,1
94,petfinder-pawpularity-score__45e2ee331b9748a48b55bd3274dab183,petfinder-pawpularity-score__6487f30cd94547ce91da7903213e1878,1006.2554342899821,5766.233187548991,6772.488621838973,5766.233187548991,1
95,petfinder-pawpularity-score__28777132c16747d88ee33785cdea5ea7,petfinder-pawpularity-score__3011b9f5b83e4e8f8077628482e6a0bd,4874.400219457981,6224.7854393050075,11099.185658762988,6224.7854393050075,1
96,petfinder-pawpularity-score__60b195817e37416bb0ec6e8b6972cda5,petfinder-pawpularity-score__e0895afa7fd2407080b1cff671ddae24,49.59623696299968,62.917083960957825,112.51332092395751,62.917083960957825,1
97,petfinder-pawpularity-score__55d09feccd974667ba88aed72ed22ff2,petfinder-pawpularity-score__9af948cafa0145b19068cb6fefa1bfda,862.7664988400065,72.58351595100248,935.350014791009,862.7664988400065,1
98,petfinder-pawpularity-score__20e58240de2d414caa6eba48ddb0990f,petfinder-pawpularity-score__55d09feccd974667ba88aed72ed22ff2,85.26635549397906,862.7664988400065,948.0328543339856,862.7664988400065,1
99,petfinder-pawpularity-score__20e58240de2d414caa6eba48ddb0990f,petfinder-pawpularity-score__9af948cafa0145b19068cb6fefa1bfda,85.26635549397906,72.58351595100248,157.84987144498155,85.26635549397906,1
100,petfinder-pawpularity-score__9251a8fa822f4d5fbeee6609ff544d84,petfinder-pawpularity-score__e4b073d8ebc042b1831c55c6438b9e6a,51.407230325974524,52.59599392302334,104.00322424899787,52.59599392302334,1
101,spooky-author-identification__088483f6768242a4b7af6809d19bc39e,spooky-author-identification__2c65b56102ea4a0cba611c997211de83,95.7786465290119,69.96889496600488,165.74754149501678,95.7786465290119,1
102,spooky-author-identification__16a678db368a417fbf00950915601fb9,spooky-author-identification__900270a860234cc2b3ae8a0505bd105a,93.60852875205455,145.83705657703103,239.4455853290856,145.83705657703103,1
103,spooky-author-identification__16a678db368a417fbf00950915601fb9,spooky-author-identification__653ba54bf46a4d82a9668d92db356211,93.60852875205455,176.61894676397787,270.2274755160324,176.61894676397787,1
104,spooky-author-identification__653ba54bf46a4d82a9668d92db356211,spooky-author-identification__900270a860234cc2b3ae8a0505bd105a,176.61894676397787,145.83705657703103,322.4560033410089,176.61894676397787,1
105,spooky-author-identification__0ce034c1ec2941cc8ef385ac9273dd91,spooky-author-identification__d36058b474df4eed9f7122a326abba07,165.30492980295094,157.30184423399623,322.6067740369472,165.30492980295094,1
106,spooky-author-identification__4296092dd0c94bde80778bf7dbb74a54,spooky-author-identification__d36058b474df4eed9f7122a326abba07,57.24369105900405,157.30184423399623,214.54553529300028,157.30184423399623,1
107,spooky-author-identification__0ce034c1ec2941cc8ef385ac9273dd91,spooky-author-identification__4296092dd0c94bde80778bf7dbb74a54,165.30492980295094,57.24369105900405,222.548620861955,165.30492980295094,1
108,spooky-author-identification__7424777826c641be905c40ac1a52b4ac,spooky-author-identification__d1d46b1789904af583bbf1588ba171f7,97.7172675349866,70.80290782597149,168.5201753609581,97.7172675349866,1
109,spooky-author-identification__0231c0ad437142f79228129d211fd169,spooky-author-identification__85199aa4ffcb42f3b8b7083872a321b6,486.79471283301245,6085.751837362943,6572.546550195955,6085.751837362943,1
110,spooky-author-identification__227119cc54714bfba116f38fbdbcc02f,spooky-author-identification__c2d06b36acbd4dab97e9eb02e799144b,115.36145116598345,38.518204498977866,153.87965566496132,115.36145116598345,1
111,spooky-author-identification__227119cc54714bfba116f38fbdbcc02f,spooky-author-identification__3da4b5fe194849cb8081afb2ac5eb386,115.36145116598345,115.28827291098423,230.6497240769677,115.36145116598345,1
112,spooky-author-identification__3da4b5fe194849cb8081afb2ac5eb386,spooky-author-identification__c2d06b36acbd4dab97e9eb02e799144b,115.28827291098423,38.518204498977866,153.8064774099621,115.28827291098423,1
113,spooky-author-identification__591da593dc7844a6aef1aa04c434d00f,spooky-author-identification__bbc3692d397246808e3cc68eef67fe01,150.46967813296942,915.9107210990041,1066.3803992319736,915.9107210990041,1
114,spooky-author-identification__0757929ebe3945789c701b840710553f,spooky-author-identification__d6d3eb8e9665416aaaed4e3b768320e7,92.40021598798921,64.38058589899447,156.78080188698368,92.40021598798921,1
115,spooky-author-identification__d6d3eb8e9665416aaaed4e3b768320e7,spooky-author-identification__d7c4a34657474cb48180f68defba370c,64.38058589899447,500.7830976959667,565.1636835949612,500.7830976959667,1
116,spooky-author-identification__0757929ebe3945789c701b840710553f,spooky-author-identification__d7c4a34657474cb48180f68defba370c,92.40021598798921,500.7830976959667,593.1833136839559,500.7830976959667,1
117,spooky-author-identification__4664d608acc24b61a9cdca212039e12f,spooky-author-identification__f0f2202d202346d78a3e3d7db9377075,331.53451030299766,89.62410528300097,421.15861558599863,331.53451030299766,1
118,spooky-author-identification__266e19f2781d49e183a7a27f941b1d1f,spooky-author-identification__f0f2202d202346d78a3e3d7db9377075,247.80338255502284,89.62410528300097,337.4274878380238,247.80338255502284,1
119,spooky-author-identification__266e19f2781d49e183a7a27f941b1d1f,spooky-author-identification__4664d608acc24b61a9cdca212039e12f,247.80338255502284,331.53451030299766,579.3378928580205,331.53451030299766,1
120,spooky-author-identification__56863913c0b94f4e81eb4c384b8584f4,spooky-author-identification__72f5c793d7894e5aabef799646c8436f,101.94345453399,130.5007233209908,232.4441778549808,130.5007233209908,1
121,spooky-author-identification__3ed470384e834909bf7b0febd0f85438,spooky-author-identification__b393af5547994420ab658e3a8538b12a,89.04929938202258,152.64651609800057,241.69581548002316,152.64651609800057,1
122,spooky-author-identification__80ad71aaeb9e4bb6a605a3c8cd77ae1f,spooky-author-identification__b393af5547994420ab658e3a8538b12a,148.30016767396592,152.64651609800057,300.9466837719665,152.64651609800057,1
123,spooky-author-identification__3ed470384e834909bf7b0febd0f85438,spooky-author-identification__80ad71aaeb9e4bb6a605a3c8cd77ae1f,89.04929938202258,148.30016767396592,237.3494670559885,148.30016767396592,1
124,spooky-author-identification__597b3ecf759d47f481d5671625cc6918,spooky-author-identification__6cefeeaa3531434d88c55c7438dcf01b,94.77104661299381,67.04042377299629,161.8114703859901,94.77104661299381,1
125,spooky-author-identification__6cefeeaa3531434d88c55c7438dcf01b,spooky-author-identification__db2b3fe075684fb5a6c044544009c8be,67.04042377299629,6478.439137284993,6545.4795610579895,6478.439137284993,1
126,spooky-author-identification__597b3ecf759d47f481d5671625cc6918,spooky-author-identification__db2b3fe075684fb5a6c044544009c8be,94.77104661299381,6478.439137284993,6573.210183897987,6478.439137284993,1
127,spooky-author-identification__2a4d1dd326e14a9ea3bfa2447dec3ae2,spooky-author-identification__b8b2fbedc50b40c6b7074bd06d4cf4f4,54.64850204100367,100.79793061601231,155.44643265701598,100.79793061601231,1
128,spooky-author-identification__874d175b780142e9b72fcfacecf40091,spooky-author-identification__b8b2fbedc50b40c6b7074bd06d4cf4f4,62.43927583901677,100.79793061601231,163.23720645502908,100.79793061601231,1
129,spooky-author-identification__2a4d1dd326e14a9ea3bfa2447dec3ae2,spooky-author-identification__874d175b780142e9b72fcfacecf40091,54.64850204100367,62.43927583901677,117.08777788002044,62.43927583901677,1
130,spooky-author-identification__2ac5ccc5e9ed4882a9ac446722ea44f6,spooky-author-identification__56a4dfb95d6f49a2b17716cdae9b30c8,112.7591988039785,56.90985561301932,169.66905441699782,112.7591988039785,1
