parent,run_id,task,stratum,policy,n_children,n_winners,n_artifact_scored,n_artifact_exists,kept_n,pruned_n,kept_ids,pruned_ids,any_winner_survival,winner_fraction_survival,structured_random_any_winner,structured_random_winner_fraction,kept_fraction,full_runtime_s,probe_wall_s,pruned_full_runtime_s,avoidable_tail_s,restart_cost_ratio,ideal_resume_cost_ratio
denoising-dirty-documents__ec447d8baa434d0faf493d69c4e88a48,cards_senior_0727.jsonl:16,denoising-dirty-documents,hard,full_continue,2,1,0,0,2,0,denoising-dirty-documents__676afd4f1b2048cfa3bb87a9501c0de8|denoising-dirty-documents__9122d7821f0d4e59b227733c2554700b,,1.0,1.0,,,1.0,5896.142553918064,240.2,0,0,1.0407384994177904,1.0
denoising-dirty-documents__ec447d8baa434d0faf493d69c4e88a48,cards_senior_0727.jsonl:16,denoising-dirty-documents,hard,observed_only,2,1,0,0,2,0,denoising-dirty-documents__676afd4f1b2048cfa3bb87a9501c0de8|denoising-dirty-documents__9122d7821f0d4e59b227733c2554700b,,1.0,1.0,,,1.0,5896.142553918064,240.2,0,0,1.0407384994177904,1.0
denoising-dirty-documents__ec447d8baa434d0faf493d69c4e88a48,cards_senior_0727.jsonl:16,denoising-dirty-documents,hard,censor_aware,2,1,0,0,2,0,denoising-dirty-documents__676afd4f1b2048cfa3bb87a9501c0de8|denoising-dirty-documents__9122d7821f0d4e59b227733c2554700b,,1.0,1.0,1.0,1.0,1.0,5896.142553918064,240.2,0,0,1.0407384994177904,1.0
denoising-dirty-documents__fa4eee2f776a44efb0fe1e4e15339553,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,full_continue,2,1,0,0,2,0,denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76|denoising-dirty-documents__f39ee4ce2db14bc68771c9773ec0a47f,,1.0,1.0,,,1.0,7291.400309048593,240.2,0,0,1.0329429176590281,1.0
denoising-dirty-documents__fa4eee2f776a44efb0fe1e4e15339553,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,observed_only,2,1,0,0,2,0,denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76|denoising-dirty-documents__f39ee4ce2db14bc68771c9773ec0a47f,,1.0,1.0,,,1.0,7291.400309048593,240.2,0,0,1.0329429176590281,1.0
denoising-dirty-documents__fa4eee2f776a44efb0fe1e4e15339553,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,censor_aware,2,1,0,0,2,0,denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76|denoising-dirty-documents__f39ee4ce2db14bc68771c9773ec0a47f,,1.0,1.0,1.0,1.0,1.0,7291.400309048593,240.2,0,0,1.0329429176590281,1.0
google-quest-challenge__09e3c19539104671ae6c7ac3d25ba513,cards_senior_0806.jsonl:8,google-quest-challenge,easy,full_continue,2,1,0,0,2,0,google-quest-challenge__cfdb38bd32284dd1b14ffe5f63059aa2|google-quest-challenge__e056f23b7e7345cc99b98ec98dbc0224,,1.0,1.0,,,1.0,2106.5476160738617,240.3,0,0,1.1140729021107372,1.0
google-quest-challenge__09e3c19539104671ae6c7ac3d25ba513,cards_senior_0806.jsonl:8,google-quest-challenge,easy,observed_only,2,1,0,0,2,0,google-quest-challenge__cfdb38bd32284dd1b14ffe5f63059aa2|google-quest-challenge__e056f23b7e7345cc99b98ec98dbc0224,,1.0,1.0,,,1.0,2106.5476160738617,240.3,0,0,1.1140729021107372,1.0
google-quest-challenge__09e3c19539104671ae6c7ac3d25ba513,cards_senior_0806.jsonl:8,google-quest-challenge,easy,censor_aware,2,1,0,0,2,0,google-quest-challenge__cfdb38bd32284dd1b14ffe5f63059aa2|google-quest-challenge__e056f23b7e7345cc99b98ec98dbc0224,,1.0,1.0,1.0,1.0,1.0,2106.5476160738617,240.3,0,0,1.1140729021107372,1.0
google-quest-challenge__54d5e9cda21a4099a4d5c8a5900b642d,cards_senior_0731.jsonl:8,google-quest-challenge,hard,full_continue,2,1,0,0,2,0,google-quest-challenge__9c121e84fa5a451e87b48f608b215dd4|google-quest-challenge__af65cdfcccea47739bbbd7014fb7f5d6,,1.0,1.0,,,1.0,11458.130039536976,240.4,0,0,1.0209807358766645,1.0
