parent,run_id,task,stratum,policy,n_children,n_artifact,n_silent,n_escalated,n_pruned,top1_expected,raw_regret,deployed_available,deployed_utility,full_final_best_utility,deployed_delta_to_full_final,deployed_matches_or_beats_full,deployed_strictly_beats_full,deployed_strictly_loses_full,low_wall_s,all_full_runtime_s,restart_cost_s,continuation_cost_s
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,top2_random,3,0,3,2,1,0.0,0.0017899999999999583,1,0.68735,0.68914,-0.0017899999999999583,0.0,0.0,1.0,360.4,1355.3276376724243,841.3387958049774,601.3387958049774
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,top2_tfidf,3,0,3,2,1,1.0,0.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1419.9298883914948,1179.9298883914948
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,top2_oracle,3,0,3,2,1,1.0,0.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1530.5865911483766,1290.5865911483766
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,oracle_gate,3,0,3,3,0,1.0,0.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1715.7276376724244,1355.7276376724244
chaii-hindi-and-tamil-question-answering__3b40dae9dd094d9e87f2b339a3290b56,cards_senior_0801.jsonl:18,chaii-hindi-and-tamil-question-answering,hard,full_external,3,0,3,3,0,1.0,0.0,1,0.68914,0.68914,0.0,1.0,0.0,0.0,360.4,1355.3276376724243,1355.3276376724243,1355.3276376724243
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,artifact_only,3,0,3,0,3,0.3333333333333333,0.010610000000000008,0,nan,0.58188,nan,0.0,0.0,1.0,136.4,6553.884172439575,136.4,136.4
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,all_escalate,3,0,3,3,0,1.0,0.0,1,0.58188,0.58188,0.0,1.0,0.0,0.0,136.4,6553.884172439575,6690.284172439575,6330.284172439575
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,random_gate,3,0,3,3,0,1.0,0.0,1,0.58188,0.58188,0.0,1.0,0.0,0.0,136.4,6553.884172439575,6690.284172439575,6330.284172439575
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,tfidf_gate,3,0,3,3,0,1.0,0.0,1,0.58188,0.58188,0.0,1.0,0.0,0.0,136.4,6553.884172439575,6690.284172439575,6330.284172439575
chaii-hindi-and-tamil-question-answering__c31a1c3b91a14ef5afef98719da1d101,cards_senior_0801.jsonl:13,chaii-hindi-and-tamil-question-answering,easy,majority3_gate,3,0,3,3,0,1.0,0.0,1,0.58188,0.58188,0.0,1.0,0.0,0.0,136.4,6553.884172439575,6690.284172439575,6330.284172439575
