parent,run_id,task,stratum,n_children,n_artifacts,n_silent,artifact_coverage,policy,picked,picked_pool_n,top1_expected,raw_regret,rank_expected,observed_low_stage_wall_s,full_eval_count,historical_all_full_runtime_s,cost_restart_exact_s,cost_continue_exact_s,cost_ratio_restart_exact,cost_ratio_continue_exact
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,easy,2,0,2,0.0,full_self_report_available,denoising-dirty-documents__3f15dea796044d05a16fd6e273d740d8,1,1.0,0.0,1,60.2,2,5440.142480649054,5440.142480649054,5440.142480649054,1.0,1.0
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,easy,2,0,2,0.0,sub120_available,denoising-dirty-documents__3f15dea796044d05a16fd6e273d740d8|denoising-dirty-documents__ec6f4762e28d40baaf94ee6b6664a820,2,0.5,0.08098999999999998,1.5,60.2,0,5440.142480649054,60.2,60.2,0.01106588664067814,0.01106588664067814
denoising-dirty-documents__4cb4122fb9814bf884cdafecf62298e9,cards_senior_0804.jsonl:23,denoising-dirty-documents,easy,2,0,2,0.0,artifact120_escalate_silent,denoising-dirty-documents__3f15dea796044d05a16fd6e273d740d8,1,1.0,0.0,1,60.2,2,5440.142480649054,5500.342480649054,5440.342480649054,1.011065886640678,1.0000367637429923
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,2,0,2,0.0,random,denoising-dirty-documents__3ad8b9e4925d4292bdca3ed8183feb67|denoising-dirty-documents__b866c25ad23841308fad35ae81f27a90,2,0.5,0.001899999999999999,1.5,60.4,0,10472.243616238236,0.0,0.0,0.0,0.0
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,2,0,2,0.0,full_external,denoising-dirty-documents__3ad8b9e4925d4292bdca3ed8183feb67,1,1.0,0.0,1,60.4,2,10472.243616238236,10472.243616238236,10472.243616238236,1.0,1.0
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,2,0,2,0.0,full_self_report_available,denoising-dirty-documents__3ad8b9e4925d4292bdca3ed8183feb67,1,1.0,0.0,1,60.4,2,10472.243616238236,10472.243616238236,10472.243616238236,1.0,1.0
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,2,0,2,0.0,full_self_report_complete,denoising-dirty-documents__3ad8b9e4925d4292bdca3ed8183feb67,1,1.0,0.0,1,60.4,2,10472.243616238236,10472.243616238236,10472.243616238236,1.0,1.0
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,2,0,2,0.0,sub120_available,denoising-dirty-documents__3ad8b9e4925d4292bdca3ed8183feb67|denoising-dirty-documents__b866c25ad23841308fad35ae81f27a90,2,0.5,0.001899999999999999,1.5,60.4,0,10472.243616238236,60.4,60.4,0.005767627474435746,0.005767627474435746
denoising-dirty-documents__6dd95edcab0e45559bb741b08b038a76,cards_senior_0731.jsonl:13,denoising-dirty-documents,hard,2,0,2,0.0,artifact120_escalate_silent,denoising-dirty-documents__3ad8b9e4925d4292bdca3ed8183feb67,1,1.0,0.0,1,60.4,2,10472.243616238236,10532.643616238236,10472.643616238236,1.0057676274744358,1.00003819620844
denoising-dirty-documents__ced9b66826334e169b3a6f5ed4e19ef7,cards_senior_0727.jsonl:11,denoising-dirty-documents,easy,2,0,2,0.0,random,denoising-dirty-documents__2777b9434e904072953a89a92373797d|denoising-dirty-documents__63efdaf0641947afad86fb6012c1752d,2,0.5,0.40197000000000005,1.5,3.9000000000000004,0,964.5409694686532,0.0,0.0,0.0,0.0
denoising-dirty-documents__ced9b66826334e169b3a6f5ed4e19ef7,cards_senior_0727.jsonl:11,denoising-dirty-documents,easy,2,0,2,0.0,full_external,denoising-dirty-documents__2777b9434e904072953a89a92373797d,1,1.0,0.0,1,3.9000000000000004,2,964.5409694686532,964.5409694686532,964.5409694686532,1.0,1.0
denoising-dirty-documents__ced9b66826334e169b3a6f5ed4e19ef7,cards_senior_0727.jsonl:11,denoising-dirty-documents,easy,2,0,2,0.0,full_self_report_available,denoising-dirty-documents__2777b9434e904072953a89a92373797d,1,1.0,0.0,1,3.9000000000000004,2,964.5409694686532,964.5409694686532,964.5409694686532,1.0,1.0
