task,fold,gap_bin,gap_interval,supported,sibling_count,candidate_count,sibling_mean_gap,candidate_mean_gap,fixed_frozen_global_sibling_accuracy,fixed_frozen_global_candidate_accuracy,op_only_lr_sibling_accuracy,op_only_lr_candidate_accuracy,static_lr_sibling_accuracy,static_lr_candidate_accuracy,char_tfidf_lr_sibling_accuracy,char_tfidf_lr_candidate_accuracy
spooky-author-identification,4,0,"[0,0.0001)",1,1,7,3e-05,3.142857142857143e-05,0.0,0.42857142857142855,0.5,0.5,0.0,0.5714285714285714,0.0,0.5714285714285714
spooky-author-identification,4,1,"[0.0001,0.0003)",1,2,5,0.000195,0.00023600000000000002,0.5,0.6,0.5,0.5,0.5,0.4,0.5,0.4
spooky-author-identification,4,2,"[0.0003,0.001)",1,5,22,0.000642,0.0006995454545454545,0.6,0.36363636363636365,0.5,0.5,0.2,0.6363636363636364,0.6,0.6363636363636364
spooky-author-identification,4,3,"[0.001,0.003)",1,12,61,0.0019975,0.0020114754098360657,0.5833333333333334,0.6065573770491803,0.5,0.5,0.8333333333333334,0.39344262295081966,0.3333333333333333,0.4098360655737705
spooky-author-identification,4,4,"[0.003,0.01)",1,27,214,0.0062266666666666685,0.006467897196261687,0.4074074074074074,0.602803738317757,0.5,0.5,0.3333333333333333,0.40186915887850466,0.2962962962962963,0.411214953271028
spooky-author-identification,4,5,"[0.01,0.03)",1,34,620,0.018983823529411768,0.020495274193548373,0.5882352941176471,0.6580645161290323,0.5,0.5,0.5588235294117647,0.3951612903225806,0.5,0.41774193548387095
spooky-author-identification,4,6,"[0.03,0.1)",1,40,1476,0.05076700000000001,0.059140982384823876,0.475,0.8021680216802168,0.5,0.5,0.775,0.42208672086720866,0.625,0.3712737127371274
spooky-author-identification,4,7,"[0.1,0.3)",1,6,1716,0.16394333333333333,0.16588826340326332,0.8333333333333334,0.26107226107226106,0.5,0.5,0.8333333333333334,0.8828671328671329,0.6666666666666666,0.9335664335664335
tabular-playground-series-dec-2021,0,0,"[0,0.0001)",0,1,0,7e-05,,0.0,,0.5,,0.0,,1.0,
tabular-playground-series-dec-2021,0,4,"[0.003,0.01)",0,1,2,0.00605,0.007254999999999999,0.0,0.5,0.5,0.5,0.0,1.0,1.0,1.0
tabular-playground-series-dec-2021,1,1,"[0.0001,0.0003)",0,1,0,0.00021,,1.0,,0.5,,1.0,,1.0,
tabular-playground-series-dec-2021,1,5,"[0.01,0.03)",0,1,2,0.01846,0.020835,0.0,0.0,0.5,0.5,0.0,0.0,1.0,0.5
tabular-playground-series-dec-2021,2,0,"[0,0.0001)",0,3,3,5.666666666666667e-05,3.9999999999999996e-05,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
tabular-playground-series-dec-2021,2,2,"[0.0003,0.001)",1,3,31,0.00069,0.0007116129032258065,0.6666666666666666,0.12903225806451613,0.5,0.5,0.3333333333333333,0.22580645161290322,0.0,0.3548387096774194
tabular-playground-series-dec-2021,2,4,"[0.003,0.01)",0,1,0,0.00585,,1.0,,0.5,,1.0,,1.0,
tabular-playground-series-dec-2021,2,8,"[0.3,inf)",1,3,27,0.36535,0.362825925925926,1.0,0.5555555555555556,0.5,0.5,0.6666666666666666,0.14814814814814814,1.0,0.5185185185185185
tabular-playground-series-dec-2021,3,0,"[0,0.0001)",1,1,6,7e-05,6e-05,1.0,0.6666666666666666,0.5,0.5,1.0,0.6666666666666666,1.0,0.8333333333333334
tabular-playground-series-dec-2021,3,1,"[0.0001,0.0003)",1,2,13,0.00021,0.00020615384615384617,0.5,0.38461538461538464,0.5,0.5,0.5,0.5384615384615384,0.5,0.46153846153846156
tabular-playground-series-dec-2021,3,2,"[0.0003,0.001)",1,1,24,0.0005,0.00052875,1.0,0.7083333333333334,0.5,0.5,0.0,0.7083333333333334,1.0,0.5
tabular-playground-series-dec-2021,3,3,"[0.001,0.003)",0,1,2,0.00102,0.00113,0.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5
tabular-playground-series-dec-2021,3,4,"[0.003,0.01)",1,1,12,0.00521,0.005614166666666667,1.0,0.8333333333333334,0.5,0.5,1.0,0.8333333333333334,1.0,0.8333333333333334
tabular-playground-series-dec-2021,3,7,"[0.1,0.3)",1,2,22,0.148185,0.1592863636363636,0.5,0.2727272727272727,0.5,0.5,0.5,0.6818181818181818,1.0,0.7727272727272727
tabular-playground-series-dec-2021,3,8,"[0.3,inf)",1,2,9,0.36511,0.37617111111111107,1.0,0.7777777777777778,0.5,0.5,1.0,0.8888888888888888,0.5,0.6666666666666666
tabular-playground-series-dec-2021,4,0,"[0,0.0001)",0,1,0,9e-05,,1.0,,0.5,,0.0,,1.0,
tabular-playground-series-dec-2021,4,1,"[0.0001,0.0003)",1,1,6,0.00013,0.0001916666666666667,0.0,0.16666666666666666,0.5,0.5,1.0,0.16666666666666666,1.0,0.16666666666666666
tabular-playground-series-dec-2021,4,2,"[0.0003,0.001)",1,2,18,0.000545,0.0005883333333333333,1.0,0.3888888888888889,0.5,0.5,1.0,0.4444444444444444,1.0,0.3333333333333333
tabular-playground-series-dec-2021,4,4,"[0.003,0.01)",1,1,6,0.00465,0.004675,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0
tabular-playground-series-may-2022,0,3,"[0.001,0.003)",1,4,6,0.0019325000000000002,0.0020916666666666666,0.75,0.5,0.5,0.5,0.75,0.5,0.5,0.6666666666666666
tabular-playground-series-may-2022,0,4,"[0.003,0.01)",1,2,6,0.003865,0.005579999999999999,1.0,0.6666666666666666,0.5,0.5,1.0,0.16666666666666666,0.0,0.6666666666666666
tabular-playground-series-may-2022,0,6,"[0.03,0.1)",1,1,23,0.0626,0.05496434782608696,1.0,0.8260869565217391,0.5,0.5,0.0,0.8695652173913043,1.0,0.9130434782608695
tabular-playground-series-may-2022,0,7,"[0.1,0.3)",1,2,18,0.123245,0.14694277777777776,1.0,0.7222222222222222,0.5,0.5,1.0,0.8888888888888888,1.0,1.0
tabular-playground-series-may-2022,1,0,"[0,0.0001)",1,2,16,2e-05,5.750000000000002e-05,0.5,0.4375,0.5,0.5,0.5,0.625,0.5,0.5
tabular-playground-series-may-2022,1,1,"[0.0001,0.0003)",1,4,28,0.0001675,0.00020035714285714288,0.5,0.39285714285714285,0.5,0.5,0.75,0.5714285714285714,0.25,0.39285714285714285
tabular-playground-series-may-2022,1,2,"[0.0003,0.001)",1,7,110,0.0005514285714285714,0.0006386363636363637,0.42857142857142855,0.5818181818181818,0.5,0.5,0.42857142857142855,0.4,0.7142857142857143,0.5909090909090909
tabular-playground-series-may-2022,1,3,"[0.001,0.003)",1,5,217,0.0012120000000000002,0.0018614746543778803,0.4,0.5391705069124424,0.5,0.5,0.8,0.3317972350230415,0.2,0.6497695852534562
tabular-playground-series-may-2022,1,4,"[0.003,0.01)",1,12,288,0.004989166666666667,0.005675659722222225,0.5833333333333334,0.8090277777777778,0.5,0.5,0.5,0.6215277777777778,0.5,0.8784722222222222
tabular-playground-series-may-2022,1,5,"[0.01,0.03)",1,6,118,0.016698333333333332,0.017901440677966104,0.3333333333333333,0.5847457627118644,0.5,0.5,0.6666666666666666,0.5169491525423728,0.5,0.7711864406779662
tabular-playground-series-may-2022,1,6,"[0.03,0.1)",1,4,362,0.0478725,0.05253616022099448,0.5,0.9060773480662984,0.5,0.5,0.5,0.9088397790055248,0.75,0.9392265193370166
tabular-playground-series-may-2022,1,7,"[0.1,0.3)",1,4,326,0.1526575,0.22434573619631903,1.0,0.8006134969325154,0.5,0.5,0.5,0.8865030674846626,1.0,0.9294478527607362
tabular-playground-series-may-2022,1,8,"[0.3,inf)",1,4,70,0.4432425,0.4234364285714285,1.0,0.6857142857142857,0.5,0.5,0.25,0.3142857142857143,0.75,0.7714285714285715
tabular-playground-series-may-2022,2,0,"[0,0.0001)",0,1,0,2e-05,,1.0,,0.5,,1.0,,0.0,
